Policy_number,Type,Coverage,Coverage_Add_Ons,Policy_Status,Validity,Insured_amount,Premium_amount,Issuance_date,Policy_holder_name,Payment_status,Payment_Frequency,Policy_renewal_date,Claimant_name,Relationship,Address,Claimant_occupation,Claimant_age,Marital_status,Claimant_driver_history,Emergency_contact_information,Phone_Number,Email,Registration_number,Make,Model,Year,Engine_Chassis_number,Color,Vehicle_condition,Vehicle_value_market_value,Vehicle_type_sedan_SUV_etc,Vehicle_history_accident_repair_history,Fuel_type,Insurance_coverage_type,Odometer_reading,Vehicle_safety_features,Date,Time,Location,Nature_of_incident,Police_report,Incident_severity_level,Weather_conditions_at_the_time_of_the_accident,Witnesses,Traffic_condition_at_the_time_of_incident,Incident_description,Involvement_of_pedestrians_or_animals,Cause_of_incident,Damage_to_property_outside_the_vehicle,Accident_scene_photos_videos,Own_Damage,Third_Party,Comprehensive,Extent_of_damage,Repair_estimates,Surveyor_report,Repair_Cost,Total_Loss_Evaluation,Depreciation,Salvage_value,Parts_replaced,Insurance_settlement_amount,Repair_duration,Repair_shop_details,Claim_Form,Driving_License,RC_Book,FIR,Repair_estimate_bill,Claim_amount,Deductibles,Previous_claims,Claim_status,Supporting_documents,Payment_details,Claim_history_report,Injury_details,Medical_bills,Hospitalization_details,Treatment_type,Medical_reports,Doctor_statement,Prescription_details,Physiotherapy_details,Disability_status,Loss_of_wages,Red_flags,Investigation,Regulatory_compliance,Court_cases,Fraud_detection,Compliance_check_list,Legal_obligations_if_any,Forensic_examination_if_any,Claims_audit_findings,Claim_review_history,Claims_approval_status,Final_settlement_approval,Internal_audit_report,Claim_verification,Fraud_detection_approval,Supervisor_Manager_approval,Driver_license,Driver_history,Driving_experience,Previous_traffic_violations,License_expiry_date,Driver_address,Driver_contact_details,Driver_medical_history,Alcohol_drug_test_results,License_class_if_applicable,License_Type
POL26848751,Car Insurance,Accidental Coverage,Consumable cover,Suspended,2024-05-03 to 2025-12-20,1067648,32470,2024-10-23,Gloria Rogers,Pending,Quarterly,2025-07-24,James Coffey,Daughter,"940 Gary Place
Hinesmouth, MN 55741",Diplomatic Services operational officer,55,Single,One speeding ticket,"498.873.8343, kimberlybarajas@example.com",001-609-600-7178x53486,moorebonnie@example.org,va 26 Id 0507,Maruti Suzuki,City,2018,UJ7358709238,White,Used,903412.2867022916,SUV,1 accident,Diesel,Comprehensive,75052,"Airbags, ABS, EBD",2024-12-29,16:13:53,Hillland,Minor Collision,FIR13840,High,Sunny,"415.932.0827x605, Casey Stewart",Light,Stolen vehicle,Yes,Pedestrian crossing,Yes,"card.jpg, despite.mp4",True,False,True,19867,520514.43384720164,SurveyorReport268,520514.43384720164,Not a total loss,89935.32309927673,62848.54211461163,Windshield,592095,10,"Macdonald-Smith, 065 Castillo Hill Apt. 215
Wesleychester, NJ 69332, 431.361.7709x4437",ClaimForm573,DL7319351247,RC7962554170,FIR79041,Estimate563,643006,50911,0,Pending,"three.jpg, they.mp4",Payment380,HistoryReport979,Head injury,44560,1 days in Chan LLC,Rest and bandage,MedicalReport680,DoctorStatement969,Prescription206,PhysioReport822,False,10302,True,Under process,Non-compliant,True,Passed,Pending,Pending,ForensicReport091,AuditFindings491,ReviewHistory539,Approved,True,AuditReport432,False,True,Manager204,DL1049020318,Clean driving record,8,1 speeding,2025-08-29,"81589 Cruz Village
Lake Darrellburgh, ID 52192","+1-870-835-7186x870, ryan35@example.com",No major medical issues,Failed,LMV,Permanent
POL34488689,Car Insurance,Accidental Coverage,Consumable cover,Suspended,2024-08-06 to 2025-11-14,705501,16678,2024-11-04,John Long,Paid,Monthly,2027-01-19,Michael Mcdowell,Parent,"782 Perez Field
Davisside, NY 80207",Theatre director,60,Single,Clean,"(882)315-0594x20909, hodgesjeff@example.net",780.926.5542x16249,donaldmiller@example.net,ab 87 XE 6474,Honda,Corolla,2021,qD4906018350,Silver,New,559134.8730803186,SUV,1 accident,Petrol,Third Party,13696,"Airbags, ABS",2024-10-04,02:19:46,Chadstad,Major Collision,FIR48512,Low,Cloudy,"907-867-9404x6818, David Smith",Heavy,Rear-ended car,Yes,Theft,Yes,"modern.jpg, green.mp4",False,False,False,17383,57062.68805314958,SurveyorReport114,57062.68805314958,Not a total loss,41238.16122154961,45511.64356078697,Windshield,67244,7,"Hudson-Williams, 74773 Bell Cove Suite 650
Port Melanieton, MO 62945, 301.429.4447x918",ClaimForm937,DL5336986910,RC1495494891,FIR85301,Estimate424,73304,6060,2,Rejected,"southern.jpg, available.mp4",Payment250,HistoryReport035,Whiplash injury,31701,4 days in Bond-Gutierrez,Surgery and bed rest,MedicalReport072,DoctorStatement059,Prescription332,PhysioReport366,False,24859,False,Under process,Compliant,False,Passed,None,None,ForensicReport470,AuditFindings408,ReviewHistory177,Rejected,False,AuditReport991,True,False,Manager944,DL0107745505,Clean driving record,3,1 parking violation,2025-03-24,"150 Brent Haven Suite 167
New Amber, DE 21490","305.564.0405x3813, qwest@example.org",Asthma,Failed,HGV,Learning
POL99256889,Car Insurance,Comprehensive,Consumable cover,Cancelled,2024-04-09 to 2026-03-08,575995,8995,2024-11-21,Michael Hall,Paid,Quarterly,2026-10-02,Samuel Lee,Parent,"83748 Diaz Oval Apt. 914
Jimenezborough, ND 88052",TEFL teacher,44,Married,One speeding ticket,"001-629-844-7042x75637, michael60@example.net",609-786-2583x6737,kellymichelle@example.net,yD 97 ZU 0683,Maruti Suzuki,EcoSport,2022,HH6548864498,Black,New,404619.2285291183,Sedan,1 repair,Petrol,Comprehensive,44262,"Airbags, ABS, Reverse Sensors",2024-06-11,10:02:21,Lake Briannachester,Minor Collision,FIR44946,High,Cloudy,"+1-395-542-3516x144, Zachary Brown",Moderate,Scratched car,No,Theft,No,"adult.jpg, price.mp4",False,True,False,13504,72212.58208094096,SurveyorReport737,72212.58208094096,Not a total loss,49607.190377687075,25357.12762367517,Left side mirror,119060,10,"Rose, Kennedy and Oconnell, 44259 Stephen Port Suite 716
Schroederside, RI 45921, (456)325-7482",ClaimForm314,DL1143249754,RC3059989546,FIR67865,Estimate946,125645,6585,2,Pending,"kitchen.jpg, seat.mp4",Payment168,HistoryReport554,Head injury,16891,3 days in Roach Inc,Rest and bandage,MedicalReport278,DoctorStatement873,Prescription015,PhysioReport062,True,24053,True,Closed,Compliant,False,Failed,None,Pending,ForensicReport760,AuditFindings615,ReviewHistory774,Approved,False,AuditReport732,False,True,Manager806,DL4937797754,One speeding ticket,20,1 parking violation,2029-06-19,"95209 Hernandez Mountain
New Kenneth, PA 53520","3616703663, harold13@example.net",Hypertension,Passed,LMV,Learning
POL98736977,Car Insurance,Accidental Coverage,Zero Depreciation,Effective,2024-06-04 to 2025-03-30,1993575,79508,2024-11-29,Garrett Collins,Pending,Recurring,2026-09-10,Julia Miles,Son,"85963 Davis Club
Lake Philip, CA 51320",Production manager,33,Single,Clean,"001-219-840-1199, noahharvey@example.com",001-960-541-6026x86292,yrubio@example.com,pc 74 Kq 9385,Maruti Suzuki,Swift,2015,AB6720724052,Red,New,1075096.1499528072,Sedan,No accidents,Diesel,Comprehensive,26775,"Airbags, ABS, EBD",2025-01-12,19:10:41,East Jason,Minor Scratch,FIR77569,Moderate,Clear,"928-790-5130, Johnny Harris",Heavy,Scratched car,No,Speeding,Yes,"power.jpg, until.mp4",True,True,True,34155,680732.152783684,SurveyorReport076,680732.152783684,Not a total loss,212462.11611024805,54111.0366628334,Windshield,726165,3,"Ramsey-Hill, 50973 Charles Row
South Jasonport, MH 59589, 478.418.5207x65897",ClaimForm493,DL1359213196,RC1517814512,FIR55428,Estimate699,739316,13151,0,Rejected,"leg.jpg, American.mp4",Payment975,HistoryReport173,Broken leg,15955,6 days in Meyer Ltd,Rest and bandage,MedicalReport798,DoctorStatement886,Prescription599,PhysioReport104,True,24142,True,Closed,Non-compliant,False,Passed,Pending,Pending,ForensicReport592,AuditFindings168,ReviewHistory693,Approved,False,AuditReport283,False,False,Manager433,DL4687809821,Clean driving record,3,No violations,2028-08-17,"80764 Mitchell Locks
Mahoneyside, MS 07766","5912543520, saragrant@example.com",Hypertension,Failed,LMV,Permanent
POL72726687,Car Insurance,Comprehensive,Zero Depreciation,Cancelled,2024-12-10 to 2025-06-27,1262895,31968,2024-06-25,Crystal Smith,Pending,Yearly,2025-05-22,John Barnes,Daughter,"702 Christopher Mill
Amandaville, NJ 58121","Scientist, research (life sciences)",20,Married,Clean,"232-406-2378x20413, yhunter@example.org",(350)439-2547x33396,zvang@example.org,eq 40 ct 3574,Maruti Suzuki,i20,2020,ur6807374261,Silver,Used,1174976.4967883138,SUV,1 accident,Petrol,Comprehensive,94184,"Airbags, ABS, Reverse Sensors",2024-07-12,00:39:15,East Joshuahaven,Accident involving pedestrian,FIR13226,Low,Rainy,"404-935-8425x88605, Andrea Taylor",Moderate,Scratched car,No,Driver Error,Yes,"even.jpg, suffer.mp4",True,True,False,44451,478883.99972954084,SurveyorReport244,478883.99972954084,Not a total loss,137105.40168421724,95838.06767171055,Left fender,822704,1,"Villanueva, Davila and Ruiz, 6108 Carter Meadow Apt. 228
East Daisy, OR 46653, +1-812-646-4988x3199",ClaimForm812,DL9235309488,RC0073673949,FIR83401,Estimate016,910234,87530,1,Pending,"learn.jpg, nearly.mp4",Payment911,HistoryReport646,Head injury,11879,3 days in Smith Group,Surgery and observation,MedicalReport221,DoctorStatement435,Prescription381,PhysioReport396,False,19889,True,Under process,Non-compliant,False,Passed,None,None,ForensicReport107,AuditFindings405,ReviewHistory325,Rejected,True,AuditReport284,False,True,Manager146,DL7842035613,One speeding ticket,18,1 speeding,2027-01-12,"2493 Amy Shores
West Michael, WI 93678","(874)448-7069, cochranjustin@example.net",Asthma,Passed,LMV,Learning
POL54001660,Car Insurance,Third Party,Zero Depreciation,Effective,2024-07-25 to 2025-04-07,1243349,35018,2024-07-11,Sean Williams,Pending,Quarterly,2025-10-02,Michael Hoover,Parent,"863 Hall Flats Suite 070
Diazshire, IA 50144",Herpetologist,28,Single,Clean,"263.602.3352, williamsmall@example.net",(505)999-7746,brandy72@example.org,RM 17 RC 3268,Maruti Suzuki,Swift,2022,FC8097073098,Blue,New,1418722.089772693,SUV,1 repair,Petrol,Comprehensive,40582,"Airbags, ABS",2025-03-06,03:26:07,Robinsonside,Minor Collision,FIR85679,Moderate,Overcast,"867.706.4752, Phillip Robinson",Light,Hit by a truck,No,Driver Error,Yes,"again.jpg, yes.mp4",True,False,True,33187,705682.4270742234,SurveyorReport711,705682.4270742234,Total Loss,127794.31584911104,46282.86928223733,Windshield,769372,6,"Robertson, Schmidt and Anderson, 7479 Matthew Fork
Gregoryborough, MH 66208, +1-725-947-2621x9173",ClaimForm080,DL7195409773,RC5198167072,FIR76639,Estimate316,848972,79600,5,Pending,"new.jpg, size.mp4",Payment640,HistoryReport092,Whiplash injury,40747,6 days in Moore-Leblanc,Physiotherapy and medication,MedicalReport212,DoctorStatement961,Prescription534,PhysioReport363,False,10007,False,Pending,Compliant,True,Passed,Pending,Pending,ForensicReport150,AuditFindings019,ReviewHistory813,Rejected,True,AuditReport392,True,False,Manager471,DL5901650076,One speeding ticket,17,No violations,2027-05-25,"USCGC Mays
FPO AA 70808","593-681-6258, meghan10@example.com",Diabetes,Passed,LMV,Learning
POL56697223,Car Insurance,Comprehensive,Consumable cover,Cancelled,2024-03-28 to 2025-05-08,1934099,88221,2024-04-23,Michael Torres,Paid,Monthly,2025-08-19,Kristin Ramirez,Parent,"245 Anderson Viaduct
Pamelahaven, AZ 50896",Biomedical engineer,48,Single,1 accident,"+1-319-343-7910, eandrews@example.com",568-303-6461x93152,tracey47@example.org,vM 76 Zf 2170,Honda,Corolla,2019,zw4795612575,Red,Used,1146939.1781069257,SUV,1 repair,Diesel,Third Party,88508,"Airbags, ABS, EBD",2024-09-26,23:44:46,Torreshaven,Minor Collision,FIR27547,Moderate,Cloudy,"001-491-539-7634x91412, Lucas Wood",Moderate,Hit by a truck,No,Theft,No,"grow.jpg, wear.mp4",False,False,False,17317,308136.41095237946,SurveyorReport623,308136.41095237946,Not a total loss,61851.635318296394,92768.08786436719,Front left door,533601,4,"Gonzalez PLC, 151 White Mews Suite 106
South Matthewberg, TN 57158, 661.367.9526",ClaimForm193,DL0212746761,RC6846554643,FIR54007,Estimate657,578511,44910,1,Rejected,"with.jpg, bag.mp4",Payment015,HistoryReport492,Head injury,14603,"9 days in French, Harvey and Morris",Rest and bandage,MedicalReport669,DoctorStatement943,Prescription636,PhysioReport115,True,22031,False,Closed,Non-compliant,True,Failed,None,Pending,ForensicReport733,AuditFindings272,ReviewHistory085,Approved,True,AuditReport482,False,False,Manager339,DL9631260293,2 minor accidents,12,2 accidents,2029-05-28,"9127 Mark Road Apt. 494
East William, OH 08156","314-245-2203x07940, rgeorge@example.org",Diabetes,Failed,LMV,Learning
POL40023810,Car Insurance,Comprehensive,Engine Protection,Effective,2024-08-13 to 2026-01-13,1527049,63092,2024-04-01,Leonard Lewis,Paid,Yearly,2026-04-05,Debra Martin,Spouse,"213 Harris Burg
West Joshua, AS 37442",Educational psychologist,32,Single,One speeding ticket,"(623)235-9854x303, ethanrichards@example.net",733.435.3041x669,pamela40@example.net,tS 66 Ez 0093,Honda,i20,2022,LS2621802987,White,Used,2090518.4529058216,Sedan,1 repair,Petrol,Comprehensive,38443,"Airbags, ABS, Parking Sensors",2024-05-09,11:35:54,East James,Minor Scratch,FIR69093,High,Rainy,"485.579.5868, Jason Perez",Heavy,Stolen vehicle,Yes,Theft,Yes,"resource.jpg, several.mp4",False,False,True,45352,733778.025080933,SurveyorReport616,733778.025080933,Total Loss,397671.80852345057,120619.27654337903,Roof panel,921515,6,"Flores and Sons, USCGC Butler
FPO AE 39011, 427-886-7960",ClaimForm755,DL7910491702,RC4041502903,FIR61822,Estimate343,931974,10459,0,Pending,"church.jpg, charge.mp4",Payment202,HistoryReport030,Fractured arm,30667,6 days in Shaffer PLC,Surgery and observation,MedicalReport994,DoctorStatement986,Prescription494,PhysioReport333,False,28889,True,Under process,Non-compliant,True,Failed,Pending,Pending,ForensicReport800,AuditFindings424,ReviewHistory826,Approved,True,AuditReport627,False,False,Manager974,DL9777698233,2 minor accidents,4,1 speeding,2025-06-21,"3113 Stephen Cape
North Timothy, MN 30984","540-746-9945x605, roysmall@example.org",Hypertension,Failed,LMV,Permanent
POL77390469,Car Insurance,Accidental Coverage,Engine Protection,Cancelled,2024-04-29 to 2025-11-01,1786235,59418,2024-07-21,Carl Martinez,Pending,Yearly,2026-05-28,Michael Norman,Parent,"8871 Melendez Streets
Zhangside, FL 96482",Ranger/warden,18,Single,2 minor accidents,"6417225623, angelahanson@example.net",960-203-6667,ortizbrent@example.com,tH 83 vy 6869,Maruti Suzuki,Swift,2020,VR3577977599,Black,New,1711477.2254824983,SUV,1 repair,Diesel,Third Party,27685,"Airbags, ABS",2024-07-13,03:22:59,Vargaston,Theft,FIR99297,High,Clear,"9513982769, Amy Chavez",Light,Scratched car,Yes,Theft,No,"area.jpg, assume.mp4",True,True,True,11302,877162.893498678,SurveyorReport105,877162.893498678,Total Loss,118147.251287839,38181.52182993001,Windshield,1409304,3,"Jensen, Wilkinson and Anderson, 560 Rebecca Station
Jeffreyfurt, AZ 50357, +1-547-989-6551x0546",ClaimForm569,DL0110576616,RC7520920575,FIR45176,Estimate907,1430703,21399,4,Rejected,"anything.jpg, morning.mp4",Payment684,HistoryReport604,Broken leg,11959,"7 days in Faulkner, Hayes and Keller",Surgery and observation,MedicalReport195,DoctorStatement755,Prescription985,PhysioReport971,True,49340,True,Pending,Non-compliant,False,Failed,None,None,ForensicReport126,AuditFindings825,ReviewHistory998,Approved,True,AuditReport064,False,True,Manager792,DL0621956176,Clean driving record,20,1 speeding,2027-05-29,"966 Tamara Ports
West Ryanfort, MT 10990","557-322-4918x312, patelkatherine@example.org",Diabetes,Failed,HGV,Permanent
POL91592095,Car Insurance,Accidental Coverage,Zero Depreciation,Effective,2024-09-02 to 2025-11-06,459674,6058,2024-10-07,Ashley Hall,Paid,Monthly,2026-04-22,Jonathan Morrow,Son,"USNS Hamilton
FPO AA 01689",Banker,29,Single,1 accident,"001-607-542-3215, sheilajackson@example.com",+1-386-988-4512x8626,kkennedy@example.net,GA 23 zI 0313,Ford,Swift,2020,vd6324750202,Black,Used,316535.3391218583,Hatchback,1 accident,Petrol,Comprehensive,99671,"Airbags, ABS, Parking Sensors",2024-10-31,19:39:48,Lake Danielleside,Major Collision,FIR11122,Low,Clear,"381.468.6050x6490, Stephanie Mills",Heavy,Scratched car,Yes,Speeding,No,"down.jpg, oil.mp4",False,True,False,25440,62519.57629629616,SurveyorReport007,62519.57629629616,Total Loss,63028.46133793296,27536.058506662135,Rear bumper,98438,1,"Anderson Group, 81672 Gregory Union
North Julieside, ND 84512, (840)990-9579",ClaimForm117,DL5373191481,RC6969776691,FIR93292,Estimate187,102134,3696,4,Pending,"others.jpg, modern.mp4",Payment292,HistoryReport684,Bruises on face,29822,10 days in Porter-Bell,Physiotherapy and medication,MedicalReport857,DoctorStatement543,Prescription278,PhysioReport926,False,32370,False,Pending,Non-compliant,True,Passed,Pending,Pending,ForensicReport171,AuditFindings286,ReviewHistory411,Approved,False,AuditReport004,True,True,Manager295,DL1069631667,Clean driving record,8,1 parking violation,2028-03-29,"868 Barbara Harbors
Ericbury, GA 85757","278.356.1903x6312, kentcarolyn@example.net",Asthma,Failed,LMV,Permanent
POL13664062,Car Insurance,Accidental Coverage,Engine Protection,Suspended,2024-07-30 to 2025-07-30,695616,19397,2024-07-17,Robert Huff,Paid,Yearly,2026-11-30,Manuel Ellis,Daughter,"98930 Sosa Plaza
Tanyamouth, FM 38993",Holiday representative,40,Single,1 accident,"001-787-727-7909, mark17@example.com",730-575-7452,david80@example.net,Nq 10 sL 7787,Hyundai,i20,2017,eW9157783096,Silver,New,610239.0101514613,SUV,No accidents,Petrol,Comprehensive,50381,"Airbags, ABS, EBD",2025-02-25,22:31:42,North Tiffanyfort,Theft,FIR91575,High,Overcast,"498-441-8484, Cynthia Browning",Moderate,Pedestrian hit,No,Pedestrian crossing,No,"yourself.jpg, address.mp4",True,False,False,37068,144593.87271659818,SurveyorReport701,144593.87271659818,Total Loss,59345.20018748212,27093.872580723124,Front left door,231539,1,"Bird and Sons, 205 Reed Groves
Robertside, WV 35693, (358)931-5024",ClaimForm461,DL6290467581,RC0635024226,FIR23615,Estimate146,257110,25571,3,Pending,"color.jpg, shoulder.mp4",Payment814,HistoryReport184,Head injury,17999,7 days in Murray-Lucas,Casting and Physiotherapy,MedicalReport400,DoctorStatement738,Prescription483,PhysioReport916,True,32494,False,Closed,Non-compliant,True,Passed,None,Pending,ForensicReport138,AuditFindings487,ReviewHistory556,Rejected,True,AuditReport434,True,False,Manager321,DL1683705604,Clean driving record,17,1 speeding,2027-09-02,"Unit 5040 Box 1760
DPO AE 89883","684-412-7725x1817, kennedykatie@example.com",No major medical issues,Passed,LMV,Permanent
POL84339555,Car Insurance,Accidental Coverage,Engine Protection,Effective,2024-08-24 to 2025-10-29,1753341,67996,2024-04-03,Manuel Wright,Paid,Quarterly,2027-03-02,Lindsay Fuller,Son,"0608 Fisher Ports
Stewartstad, AL 39142",Broadcast journalist,52,Married,1 accident,"+1-638-705-6838x1201, raymondmaria@example.net",001-774-329-2928x519,awalker@example.com,yR 91 kB 8185,Honda,Swift,2015,Xi0174139186,Blue,New,1038254.3320177558,Hatchback,1 repair,Diesel,Third Party,49316,"Airbags, ABS, Reverse Sensors",2024-10-30,19:00:41,North Julie,Minor Scratch,FIR75983,Low,Cloudy,"001-341-444-5734x1263, Chase Brown",Moderate,Pedestrian hit,No,Speeding,Yes,"article.jpg, public.mp4",False,False,True,36300,192208.42470482434,SurveyorReport387,192208.42470482434,Not a total loss,81645.72131110435,102265.82290119173,Windshield,361111,10,"Zamora Ltd, 78079 Katherine Courts
Breannaland, AL 73379, +1-451-544-5422x739",ClaimForm197,DL6757666454,RC6781133017,FIR01622,Estimate556,383772,22661,0,Approved,"service.jpg, generation.mp4",Payment908,HistoryReport999,Fractured arm,39603,7 days in Ochoa Inc,Surgery and bed rest,MedicalReport608,DoctorStatement683,Prescription274,PhysioReport484,False,16894,True,Under process,Compliant,True,Failed,Pending,None,ForensicReport480,AuditFindings145,ReviewHistory491,Approved,False,AuditReport530,False,False,Manager280,DL9772207929,One traffic violation,19,No violations,2027-10-21,"396 Michael Dale Apt. 494
Toddborough, OR 09391","001-674-682-7599, madeline04@example.net",Asthma,Failed,LMV,Learning
POL18088262,Car Insurance,Third Party,Road side assistance (24*7),Effective,2024-11-30 to 2025-10-27,288704,9757,2024-10-13,Taylor Rodriguez,Paid,Monthly,2025-09-11,Nancy Davis,Son,"8835 King Bypass
Morrisfort, ME 49576",Geophysical data processor,29,Single,Clean,"481-984-5211x3471, richardsnyder@example.com",(846)359-3304,munozchristopher@example.org,bJ 96 hn 9035,Maruti Suzuki,i20,2018,ol6133179153,Silver,Used,188952.352552149,SUV,No accidents,Diesel,Third Party,66759,"Airbags, ABS",2024-03-31,06:38:31,Debratown,Major Collision,FIR35588,Moderate,Rainy,"(482)304-5139x580, Mrs. Summer Freeman DVM",Heavy,Scratched car,No,Pedestrian crossing,Yes,"include.jpg, successful.mp4",False,True,False,26455,48552.169582167735,SurveyorReport281,48552.169582167735,Total Loss,27976.9167844312,8864.935481962282,Roof panel,45750,3,"Johnson-Smith, 92064 Lindsey Island Suite 777
West Andremouth, CA 95627, 226.586.9314",ClaimForm557,DL7138732575,RC4533138030,FIR98356,Estimate309,48581,2831,2,Approved,"according.jpg, generation.mp4",Payment188,HistoryReport285,Bruises on face,34383,"8 days in Hogan, Suarez and Fitzpatrick",Rest and bandage,MedicalReport374,DoctorStatement632,Prescription974,PhysioReport077,False,43748,False,Closed,Compliant,True,Failed,None,Pending,ForensicReport171,AuditFindings651,ReviewHistory951,Approved,True,AuditReport819,True,True,Manager331,DL4487174263,One speeding ticket,3,No violations,2025-03-31,"68485 Erika Crossroad
North Cindy, MP 15005","8332863420, dustinhoward@example.net",Asthma,Failed,LMV,Permanent
POL38402982,Car Insurance,Third Party,Road side assistance (24*7),Cancelled,2024-05-10 to 2025-07-04,818702,14356,2024-05-26,James Williams,Pending,Monthly,2027-01-15,Michael Kelly,Spouse,"580 Henderson Forges
Estradaville, AS 89944","Journalist, newspaper",22,Married,One speeding ticket,"502.954.3910x456, carla96@example.org",001-488-317-1393,kylerichards@example.com,bX 54 Hw 0779,Hyundai,Corolla,2015,wL0666988415,White,New,1027721.673006313,SUV,No accidents,Petrol,Comprehensive,19318,"Airbags, ABS, Reverse Sensors",2024-03-21,15:21:54,North Russellmouth,Major Collision,FIR29187,High,Rainy,"660.869.8179x123, Sarah Hamilton",Light,Hit by a truck,No,Pedestrian crossing,Yes,"direction.jpg, group.mp4",True,False,False,25538,322025.60831366427,SurveyorReport069,322025.60831366427,Total Loss,90917.74153354028,86797.39829532767,Windshield,320177,10,"Gutierrez-Beck, 8513 Waller Green
Mcguiremouth, NE 19137, +1-515-698-8029x928",ClaimForm460,DL3037456236,RC7946172623,FIR87501,Estimate189,335247,15070,4,Rejected,"alone.jpg, grow.mp4",Payment101,HistoryReport986,Whiplash injury,30845,1 days in Cohen LLC,Physiotherapy and medication,MedicalReport071,DoctorStatement518,Prescription072,PhysioReport503,False,35905,True,Closed,Non-compliant,True,Passed,None,Pending,ForensicReport705,AuditFindings866,ReviewHistory536,Approved,False,AuditReport060,True,True,Manager319,DL6348083815,One traffic violation,16,2 accidents,2026-09-29,"7114 Cheryl Shores Suite 811
Port Sharon, PW 21958","(941)307-9833, gsanchez@example.net",No major medical issues,Passed,HGV,Learning
POL29544506,Car Insurance,Comprehensive,Engine Protection,Cancelled,2024-07-14 to 2026-03-11,914077,21765,2024-05-16,Jennifer Martinez,Paid,Monthly,2026-12-04,Dr. Kelly Mills,Daughter,"872 Emily Divide
Weaverborough, WI 64683",Research scientist (life sciences),60,Single,2 minor accidents,"+1-344-722-0910x184, griffinangela@example.net",+1-507-841-0461x76436,anthonywest@example.com,Hz 25 GR 5706,Ford,i20,2015,pc8196515619,Red,New,952166.7663183557,Hatchback,1 repair,Petrol,Comprehensive,92680,"Airbags, ABS, Reverse Sensors",2024-06-04,03:56:41,New Hannahfurt,Minor Scratch,FIR94851,High,Cloudy,"+1-674-509-7977x2556, Mathew Gonzalez",Heavy,Stolen vehicle,Yes,Speeding,No,"something.jpg, rise.mp4",True,True,False,26219,504936.61652804055,SurveyorReport675,504936.61652804055,Not a total loss,124843.85813188535,79534.65070388197,Front left door,541609,2,"Ponce-Vazquez, 922 Ryan Corners
East Jack, DE 23283, 426.420.2980x03526",ClaimForm781,DL8279770506,RC6185570505,FIR21417,Estimate333,558387,16778,0,Approved,"last.jpg, person.mp4",Payment983,HistoryReport990,Whiplash injury,33154,"6 days in Johnson, Thomas and Rogers",Physiotherapy and medication,MedicalReport233,DoctorStatement197,Prescription286,PhysioReport256,True,48446,True,Pending,Non-compliant,False,Failed,Pending,Pending,ForensicReport953,AuditFindings667,ReviewHistory646,Approved,False,AuditReport587,True,False,Manager336,DL1257169854,Clean driving record,20,No violations,2029-08-19,"96627 William Village
Danielland, TX 29066","651.868.8437, bowenelizabeth@example.com",Hypertension,Failed,HGV,Learning
POL41407136,Car Insurance,Accidental Coverage,No Claim Bonus,Cancelled,2024-07-15 to 2026-02-26,1348661,18188,2024-04-27,Mr. Raymond Crawford,Paid,Quarterly,2026-11-20,John Ayers,Son,"3367 Davis Circles Apt. 827
Port Kathleenport, TX 91915","Conservator, museum/gallery",54,Single,One speeding ticket,"684.241.9638x78421, jenniferrichardson@example.org",5598241481,alyssalopez@example.com,zM 51 zI 4306,Toyota,i20,2018,hK3363153507,Silver,Used,1741917.4760781087,Hatchback,No accidents,Petrol,Comprehensive,35577,"Airbags, ABS, Parking Sensors",2024-07-06,17:43:16,Coxton,Theft,FIR16037,Low,Clear,"2358235420, Matthew Lowe",Moderate,Rear-ended car,Yes,Pedestrian crossing,Yes,"day.jpg, agreement.mp4",False,False,False,15149,554556.5571781571,SurveyorReport599,554556.5571781571,Not a total loss,343956.9100770344,157646.35846687751,Left fender,589437,9,"Wells-Rosario, 999 Brandon Hill Apt. 208
Lake Robert, MA 60665, (337)795-2439x7971",ClaimForm588,DL3090896034,RC2414973499,FIR08993,Estimate881,597822,8385,0,Pending,"seem.jpg, four.mp4",Payment496,HistoryReport743,Bruises on face,44466,7 days in Sawyer LLC,Surgery and bed rest,MedicalReport364,DoctorStatement681,Prescription945,PhysioReport391,False,18476,False,Under process,Non-compliant,True,Failed,Pending,Pending,ForensicReport729,AuditFindings303,ReviewHistory330,Rejected,False,AuditReport865,True,True,Manager141,DL3946028797,One traffic violation,19,1 speeding,2028-03-22,"316 Simmons Crossroad
Mcmahonshire, KS 67329","+1-757-498-6577x595, qwong@example.net",Diabetes,Passed,HGV,Permanent
